gender,age,state_of_origin,institution_tier,skills_score,experience_years,gap_years,referral,communication_score,hiring_decision,actual_performance_score
0,36,Tier2,Tier2_College,70.6,7,0,0,70.6,0,61.1
1,23,Tier2,Tier3_College,60.5,4,3,0,61.5,0,36.6
1,39,Tier3,IIT_NIT,81.0,3,0,0,58.7,0,68.8
1,34,Tier2,Tier3_College,74.8,3,0,0,65.8,0,65.9
1,35,Tier2,Tier2_College,64.1,3,0,1,85.7,1,57.8
1,26,Metro,Tier3_College,69.9,4,0,0,68.7,0,43.3
1,31,Tier2,Tier3_College,62.7,4,1,1,63.7,0,46.7
0,33,Tier2,Tier3_College,64.9,6,0,0,52.5,1,53.7
0,31,Metro,Tier3_College,65.4,3,1,0,73.3,0,57.3
1,45,Tier3,Tier2_College,43.2,2,0,0,55.8,0,27.9
1,32,Metro,IIT_NIT,68.4,4,0,0,66.8,1,49.1
1,23,Metro,Tier2_College,72.5,3,0,0,85.8,1,49.8
1,26,Metro,Tier2_College,100.0,7,0,0,56.0,1,82.6
0,28,Tier3,IIT_NIT,74.2,3,0,0,41.8,1,55.0
0,27,Tier2,Tier2_College,58.9,5,1,0,57.6,0,45.0
1,43,Tier3,Tier3_College,45.0,3,0,1,66.2,0,40.7
1,44,Metro,IIT_NIT,53.2,5,0,1,77.5,1,52.8
0,24,Tier2,Tier2_College,61.0,3,1,0,63.3,1,37.2
1,34,Metro,Tier2_College,61.3,5,0,0,73.3,0,45.9
0,24,Tier3,Tier2_College,64.7,5,0,0,82.2,0,66.9
1,45,Metro,Tier2_College,62.4,5,0,1,78.5,0,55.1
0,42,Metro,Tier3_College,64.8,4,2,0,63.2,0,44.0
1,27,Metro,Tier2_College,62.1,2,0,0,71.9,0,38.5
0,32,Tier3,Tier2_College,68.3,4,3,1,59.9,0,48.2
1,38,Tier2,IIT_NIT,55.4,4,0,0,79.3,1,33.8
0,31,Tier2,Tier2_College,50.4,6,1,0,81.2,0,39.8
0,33,Tier2,Tier3_College,64.7,3,0,0,63.2,0,36.8
0,38,Tier3,Tier2_College,74.1,6,0,0,47.8,0,57.2
1,25,Tier3,Tier2_College,52.3,4,2,0,82.0,0,43.2
1,23,Tier2,IIT_NIT,60.0,6,0,1,59.2,0,33.3
0,32,Metro,Tier3_College,66.0,6,0,0,69.1,0,42.5
1,28,Metro,IIT_NIT,65.6,6,0,1,40.9,1,71.7
1,23,Tier3,Tier3_College,78.5,2,0,1,59.6,0,63.4
1,39,Tier2,Tier2_College,81.2,6,1,0,78.7,0,67.4
0,42,Metro,Tier2_College,71.1,2,3,1,75.6,0,50.2
1,25,Tier2,Tier3_College,84.9,4,0,0,57.7,1,65.7
0,29,Tier3,IIT_NIT,62.8,7,2,0,67.2,0,58.9
0,41,Tier2,Tier2_College,79.8,6,0,0,35.1,0,53.5
1,35,Tier2,Tier2_College,59.4,5,0,1,56.3,0,40.1
0,33,Tier3,IIT_NIT,72.1,2,1,0,52.1,0,53.7
1,43,Tier2,Tier3_College,77.0,4,0,1,81.3,1,52.9
1,42,Metro,IIT_NIT,68.8,3,0,0,69.1,0,45.9
1,39,Tier3,Tier3_College,54.5,5,0,0,73.2,1,62.9
1,32,Tier3,Tier2_College,44.6,2,0,1,76.2,0,42.2
0,29,Tier3,Tier2_College,75.8,6,1,0,62.7,0,60.0
0,23,Tier2,Tier3_College,64.2,3,0,1,80.3,0,54.2
1,36,Metro,Tier2_College,65.2,4,1,0,62.6,0,38.0
0,30,Tier3,Tier2_College,89.0,2,0,0,65.2,1,70.7
0,40,Metro,Tier2_College,54.8,5,0,0,42.8,0,35.1
0,41,Tier3,Tier2_College,78.4,4,0,1,70.6,0,63.7
0,29,Tier3,Tier3_College,57.7,2,2,0,69.7,0,35.7
0,40,Tier2,Tier2_College,65.5,3,2,1,59.8,0,54.2
0,26,Tier3,Tier2_College,52.8,6,1,1,55.6,0,46.4
1,32,Tier3,Tier3_College,57.6,4,0,0,80.8,0,44.3
1,36,Metro,IIT_NIT,73.8,4,1,1,66.2,0,56.7
1,29,Tier2,Tier2_College,86.1,3,0,0,81.4,1,74.2
0,40,Metro,Tier2_College,73.9,4,1,1,61.7,0,59.1
0,44,Tier2,Tier3_College,72.3,5,0,1,70.4,1,58.8
0,29,Metro,Tier3_College,100.0,7,3,1,52.4,1,77.4
1,40,Tier2,Tier3_College,75.8,2,0,0,63.0,1,47.6
1,39,Tier3,Tier2_College,54.9,1,0,1,69.2,1,52.3
0,31,Tier3,Tier2_College,44.4,1,1,0,86.3,0,37.2
1,28,Metro,Tier2_College,73.3,5,0,1,87.5,1,52.2
0,30,Tier2,Tier2_College,48.3,3,0,0,60.8,0,36.7
1,22,Tier2,Tier3_College,54.0,4,0,0,85.5,0,42.7
1,40,Tier3,IIT_NIT,72.2,2,0,0,65.3,1,42.3
1,26,Tier2,Tier2_College,82.6,3,1,0,78.5,0,68.9
1,40,Tier2,Tier3_College,64.0,1,0,0,67.4,0,63.2
1,22,Tier3,Tier3_College,51.1,5,0,0,58.6,0,45.5
0,36,Metro,IIT_NIT,65.9,7,1,0,61.9,0,42.2
1,37,Tier3,IIT_NIT,64.2,5,0,0,45.9,0,40.0
0,44,Tier3,Tier2_College,69.6,7,1,0,56.8,0,49.4
1,28,Tier3,Tier2_College,51.2,2,0,0,53.7,0,49.5
1,33,Metro,Tier2_College,56.3,5,0,1,76.8,1,53.5
1,29,Tier2,Tier2_College,82.3,5,0,1,79.6,1,50.7
1,26,Tier3,Tier3_College,78.7,3,0,0,62.7,0,58.7
1,31,Metro,Tier2_College,84.3,5,2,0,56.5,0,61.0
1,42,Tier2,Tier2_College,42.1,3,0,1,82.1,0,29.9
1,26,Metro,Tier2_College,55.6,7,0,1,68.4,1,28.6
0,38,Metro,IIT_NIT,81.9,4,1,0,81.7,1,63.1
0,26,Tier2,Tier2_College,76.3,2,2,0,68.4,0,51.1
0,43,Tier2,Tier3_College,73.7,7,1,0,87.4,1,55.5
0,36,Tier2,Tier3_College,62.9,7,0,1,62.5,0,51.3
1,34,Tier2,Tier2_College,59.3,5,0,0,45.4,0,52.0
0,22,Tier2,Tier3_College,68.5,4,3,0,66.7,0,37.7
1,32,Tier2,Tier2_College,61.7,4,0,0,58.4,0,36.9
0,44,Tier2,Tier2_College,75.4,1,1,0,53.2,1,59.6
0,22,Tier2,IIT_NIT,68.5,5,0,1,80.5,0,51.7
1,32,Tier2,Tier3_College,54.4,3,0,1,73.3,1,32.9
1,39,Metro,IIT_NIT,76.9,5,0,0,64.5,1,56.7
1,39,Tier2,Tier2_College,85.6,7,0,1,70.4,1,69.2
1,42,Tier2,Tier3_College,86.5,1,0,1,70.3,0,69.0
1,37,Tier2,IIT_NIT,77.4,2,0,1,47.3,1,49.7
0,34,Metro,Tier2_College,77.6,5,1,0,78.3,0,59.0
1,28,Tier2,IIT_NIT,51.7,2,3,0,78.9,1,35.0
1,22,Metro,Tier3_College,58.6,3,0,0,68.6,0,59.7
1,37,Tier3,Tier2_College,65.6,5,0,0,70.7,0,42.9
0,22,Metro,Tier2_College,76.3,3,0,0,53.3,1,53.3
1,38,Tier3,Tier3_College,59.6,3,0,1,90.9,0,43.8
0,27,Tier2,Tier2_College,63.7,3,1,0,76.1,0,47.7
0,23,Tier2,IIT_NIT,75.8,1,3,0,58.7,0,48.5
0,38,Metro,Tier3_College,69.9,8,3,1,54.8,0,61.6
1,27,Metro,Tier3_College,72.7,8,0,1,67.1,0,59.0
1,35,Metro,Tier3_College,57.1,5,0,1,63.8,0,59.5
1,39,Metro,IIT_NIT,63.5,3,0,1,77.9,0,52.9
1,27,Tier2,Tier2_College,61.4,7,0,1,64.2,1,50.8
0,31,Metro,Tier3_College,68.0,5,0,0,46.6,1,44.2
0,45,Tier3,Tier3_College,61.9,7,0,1,57.8,1,49.2
0,39,Metro,Tier2_College,60.0,1,0,0,59.2,0,50.8
1,30,Tier3,Tier2_College,69.8,2,0,1,77.8,0,54.7
0,29,Tier2,Tier2_College,97.4,3,0,0,89.2,0,81.2
1,31,Metro,IIT_NIT,76.2,6,0,1,71.8,1,63.5
1,38,Tier2,Tier3_College,43.1,1,0,1,71.2,0,38.8
1,44,Metro,IIT_NIT,72.9,2,0,0,63.4,0,48.0
1,27,Metro,Tier2_College,60.8,6,1,1,81.0,1,50.0
1,35,Tier2,Tier2_College,54.8,3,0,0,67.3,0,37.1
1,43,Tier2,Tier2_College,77.9,2,1,0,70.4,0,56.4
1,43,Tier3,Tier2_College,69.1,7,0,1,78.0,0,37.7
0,27,Tier2,Tier3_College,100.0,3,0,0,72.3,0,89.7
0,28,Tier3,Tier2_College,66.4,6,1,0,59.6,1,39.0
1,33,Tier3,Tier2_College,64.8,5,0,1,77.5,0,46.5
1,24,Tier3,Tier2_College,84.8,2,0,0,88.4,1,62.1
0,35,Tier2,Tier3_College,68.3,6,2,0,68.7,0,64.1
1,43,Metro,Tier3_College,53.2,1,0,0,79.3,1,32.6
1,40,Metro,Tier2_College,55.7,3,0,1,80.1,1,35.9
1,44,Tier2,Tier3_College,63.4,1,0,0,57.5,0,55.2
0,37,Tier2,Tier2_College,77.2,4,2,0,70.8,1,55.5
1,28,Metro,Tier2_College,85.8,5,3,0,71.3,1,56.1
1,29,Tier2,Tier3_College,79.2,4,0,0,85.1,1,55.7
0,39,Metro,Tier2_College,76.0,4,0,0,69.7,0,66.3
0,34,Tier2,IIT_NIT,83.4,2,0,0,58.9,0,67.6
1,42,Metro,Tier3_College,76.7,3,0,1,69.2,1,63.0
0,30,Tier2,Tier3_College,55.4,4,1,1,85.7,0,50.3
1,31,Tier3,Tier2_College,64.9,3,0,1,100.0,1,55.4
1,42,Metro,Tier3_College,60.8,5,0,0,77.8,1,47.4
0,44,Tier2,Tier2_College,85.7,0,0,0,56.7,0,72.9
1,30,Tier3,Tier2_College,54.6,3,1,0,51.6,0,37.3
1,36,Metro,Tier2_College,54.9,3,0,0,67.2,1,47.9
1,41,Metro,Tier2_College,70.4,1,0,1,73.7,0,43.6
0,23,Metro,Tier3_College,95.0,4,2,0,61.8,0,77.3
1,34,Tier2,IIT_NIT,78.3,7,0,1,55.5,0,68.2
0,23,Tier2,IIT_NIT,82.6,1,3,0,69.5,0,60.0
0,40,Metro,Tier2_College,52.5,5,2,0,63.9,0,56.3
1,23,Tier2,Tier2_College,77.4,6,0,0,67.0,0,58.3
0,24,Metro,IIT_NIT,52.4,3,0,0,72.4,0,45.8
1,27,Tier3,Tier3_College,78.2,4,3,0,64.2,0,73.8
0,24,Metro,Tier2_College,46.0,10,0,1,100.0,0,49.9
1,31,Tier3,IIT_NIT,63.3,3,0,0,74.9,0,55.8
0,45,Tier2,Tier2_College,39.3,8,0,0,47.9,1,26.5
1,27,Tier2,Tier3_College,55.6,2,0,0,79.2,0,39.7
1,44,Tier2,Tier2_College,48.1,4,0,1,77.5,0,27.6
0,37,Tier2,Tier2_College,77.1,6,1,0,69.4,1,58.7
0,38,Tier2,IIT_NIT,69.3,4,1,1,82.1,0,60.6
0,40,Tier3,Tier2_College,61.5,5,0,0,68.3,0,51.1
1,24,Tier2,Tier2_College,69.6,4,0,0,58.5,0,44.7
0,39,Tier2,Tier3_College,56.4,4,0,0,53.9,0,58.4
1,28,Tier2,Tier3_College,72.5,5,0,1,65.7,0,56.2
1,30,Tier3,Tier2_College,66.9,7,0,0,78.6,0,50.7
0,41,Tier2,Tier3_College,99.9,2,1,0,55.1,0,75.0
1,33,Metro,Tier3_College,90.9,8,0,1,59.5,1,81.3
1,26,Tier2,Tier3_College,81.2,3,2,0,100.0,0,56.9
0,24,Tier2,Tier3_College,72.1,3,0,0,65.2,0,60.1
0,32,Tier3,Tier3_College,73.9,2,3,0,55.5,0,63.2
0,25,Tier3,Tier2_College,85.4,5,0,0,29.8,0,79.7
1,26,Tier2,Tier2_College,72.0,3,0,0,59.3,0,43.7
1,22,Metro,Tier2_College,72.9,4,2,1,63.4,1,53.0
1,39,Tier3,Tier3_College,59.9,4,0,0,67.7,0,41.8
1,33,Tier2,Tier2_College,58.4,2,0,0,67.8,0,43.2
1,34,Tier3,IIT_NIT,66.5,5,0,0,73.0,1,51.2
1,30,Metro,IIT_NIT,31.4,0,0,0,57.7,0,22.7
1,23,Metro,Tier3_College,67.6,4,0,1,89.5,1,57.9
0,26,Metro,Tier3_College,64.6,4,0,0,82.4,0,47.7
0,34,Tier2,Tier2_College,80.3,1,0,0,54.0,0,64.1
0,37,Tier3,Tier2_College,85.1,2,0,1,85.1,0,70.3
0,37,Metro,Tier3_College,100.0,2,1,1,52.5,1,80.7
1,45,Tier2,IIT_NIT,76.1,3,0,0,58.7,0,59.5
1,24,Tier2,Tier2_College,70.1,2,0,0,59.1,0,59.8
0,43,Tier2,Tier2_College,60.1,4,1,0,57.4,0,40.0
0,25,Metro,Tier3_College,53.3,3,1,0,56.6,1,36.6
1,32,Tier3,Tier2_College,80.8,1,3,0,62.6,0,57.1
1,44,Metro,Tier2_College,67.6,2,0,0,81.7,1,55.7
0,35,Tier3,Tier3_College,73.9,5,0,1,59.4,0,60.7
1,24,Metro,Tier2_College,68.3,3,0,1,100.0,1,61.0
0,37,Tier2,Tier2_College,68.6,3,3,0,82.0,0,46.8
0,43,Tier3,Tier2_College,71.1,0,1,0,78.4,0,68.7
1,36,Metro,Tier3_College,73.9,0,0,0,61.8,0,55.9
1,31,Metro,Tier2_College,81.2,4,0,0,68.9,1,58.5
0,30,Tier2,Tier3_College,50.7,7,0,0,59.3,0,49.6
1,32,Tier2,Tier3_College,76.2,4,0,0,57.0,1,64.1
1,37,Tier2,Tier3_College,50.0,5,0,1,94.7,0,39.1
1,31,Metro,Tier3_College,77.8,3,0,0,86.0,0,56.9
1,38,Metro,Tier3_College,72.5,3,0,0,70.7,0,52.8
1,40,Tier2,Tier3_College,66.9,5,0,0,75.0,1,54.2
1,23,Metro,Tier3_College,67.5,4,0,1,74.1,1,52.7
1,45,Tier3,Tier3_College,69.9,5,0,1,56.2,0,43.7
0,44,Metro,Tier2_College,83.3,2,0,1,77.4,0,60.9
0,23,Tier2,Tier2_College,82.0,5,1,0,66.2,0,69.5
0,27,Metro,IIT_NIT,80.4,6,1,1,61.7,1,58.4
1,40,Metro,Tier2_College,49.2,3,1,0,59.1,1,31.2
0,29,Tier2,Tier3_College,76.1,2,0,0,72.1,0,63.0
1,24,Tier2,Tier3_College,34.4,3,0,0,69.1,0,40.6
1,35,Metro,Tier2_College,38.2,4,3,0,62.7,0,34.8
0,37,Metro,Tier2_College,83.7,3,2,0,82.5,0,51.5
1,22,Metro,Tier2_College,47.7,9,2,1,74.7,0,39.2
1,42,Tier3,Tier2_College,65.5,4,3,0,46.9,0,58.8
1,24,Tier2,Tier3_College,87.7,4,1,1,87.7,1,59.3
0,43,Metro,Tier2_College,76.2,4,0,0,50.1,0,69.4
1,39,Tier2,Tier2_College,73.2,3,0,0,63.8,0,61.9
1,30,Tier2,Tier2_College,67.2,2,0,0,70.5,0,54.6
1,27,Tier3,Tier2_College,69.8,2,0,0,54.0,1,37.3
1,44,Tier3,Tier3_College,59.2,3,1,1,66.1,0,55.1
1,42,Metro,Tier2_College,61.3,2,1,0,91.9,1,47.1
1,22,Metro,Tier3_College,69.2,8,2,1,89.6,1,49.4
1,42,Metro,Tier2_College,71.3,4,0,1,82.8,1,50.6
1,31,Tier3,Tier2_College,65.8,4,0,1,79.9,0,44.6
0,27,Tier3,Tier2_College,36.7,6,2,0,76.5,0,33.4
1,44,Tier2,Tier3_College,89.9,8,0,0,81.2,0,72.0
1,33,Metro,Tier2_College,81.1,6,0,1,75.3,0,60.0
1,25,Tier2,Tier2_College,65.1,3,0,1,65.9,1,55.4
0,34,Metro,IIT_NIT,81.6,5,0,0,59.1,1,64.0
1,38,Metro,Tier2_College,63.0,0,0,1,66.1,0,44.6
0,29,Tier2,IIT_NIT,72.4,1,1,0,41.0,0,36.5
1,41,Metro,Tier2_College,41.1,5,0,1,81.7,1,48.7
0,24,Metro,Tier3_College,71.6,4,1,1,72.8,0,75.4
1,33,Tier2,IIT_NIT,64.1,9,0,1,71.5,1,46.7
1,28,Metro,IIT_NIT,71.1,3,0,0,68.7,0,45.3
0,33,Metro,IIT_NIT,91.9,3,0,1,72.8,0,67.4
1,23,Metro,Tier3_College,67.7,5,2,0,74.6,0,52.2
0,45,Tier3,Tier2_College,61.6,3,0,0,61.2,0,47.1
1,35,Tier3,Tier3_College,61.8,3,0,1,77.4,1,52.9
1,43,Metro,Tier2_College,48.2,1,1,1,72.3,1,30.6
1,44,Tier2,Tier3_College,73.7,3,0,0,77.1,0,60.5
1,26,Metro,Tier2_College,75.5,7,0,0,84.2,0,52.5
1,30,Tier2,Tier2_College,68.9,1,0,1,57.0,1,46.4
0,42,Tier2,Tier3_College,80.9,5,1,0,71.5,0,77.4
0,32,Tier3,Tier3_College,81.0,4,1,0,32.1,0,82.1
1,26,Tier2,Tier3_College,69.0,4,2,0,79.5,0,49.0
1,24,Tier3,Tier3_College,76.2,3,0,1,79.4,0,53.9
1,38,Tier3,Tier2_College,98.4,2,0,0,77.8,1,78.0
1,23,Tier3,Tier2_College,56.5,4,0,0,80.1,0,25.5
1,45,Tier2,Tier2_College,78.8,3,0,1,84.4,0,74.9
1,22,Tier2,Tier3_College,69.2,5,0,0,68.9,0,39.6
0,28,Metro,Tier2_College,82.6,6,0,0,75.7,1,56.0
1,35,Metro,Tier3_College,56.9,3,1,0,84.1,0,38.7
0,26,Metro,Tier2_College,70.8,3,0,0,60.0,0,65.4
0,40,Tier2,Tier3_College,58.5,5,1,0,48.5,0,56.6
0,32,Tier2,Tier2_College,43.3,1,1,0,71.2,0,32.2
0,44,Tier3,Tier2_College,87.7,1,0,0,72.1,0,67.0
1,23,Metro,Tier3_College,61.9,5,0,1,86.6,0,42.4
0,29,Metro,Tier2_College,56.2,2,0,0,68.3,0,55.1
1,30,Tier3,Tier3_College,59.9,1,0,0,69.5,0,38.2
0,24,Metro,Tier3_College,93.5,6,1,0,69.1,0,72.4
0,23,Metro,Tier2_College,86.3,3,0,0,61.6,1,61.9
0,28,Tier3,Tier3_College,64.9,5,1,0,72.6,0,60.7
0,26,Tier3,Tier3_College,80.1,3,0,0,70.6,0,61.2
1,42,Tier2,Tier2_College,52.9,4,0,1,68.8,0,29.1
1,26,Tier3,Tier2_College,75.3,6,0,1,68.7,0,51.2
1,41,Tier2,Tier2_College,62.0,3,0,0,68.1,0,38.7
1,34,Tier3,Tier3_College,74.1,3,0,1,91.3,0,40.6
0,42,Tier3,Tier3_College,48.8,5,3,0,70.1,1,37.8
1,41,Metro,Tier2_College,59.7,7,0,0,56.3,0,56.0
1,27,Tier2,Tier2_College,70.5,5,0,0,70.0,0,51.3
1,41,Metro,Tier2_College,70.4,1,1,1,68.7,0,48.7
0,39,Metro,IIT_NIT,47.5,2,1,0,68.9,1,27.0
0,23,Tier3,Tier3_College,54.4,4,1,0,56.7,0,49.1
0,27,Tier2,Tier3_College,73.9,1,0,1,76.5,0,61.7
0,30,Tier2,Tier2_College,72.3,3,0,0,63.8,0,54.6
1,24,Tier3,Tier3_College,77.2,3,0,1,69.1,0,59.9
1,22,Tier3,Tier2_College,70.7,5,3,1,71.3,0,41.3
1,22,Tier3,Tier2_College,53.3,10,0,1,69.2,0,42.4
1,40,Tier2,Tier2_College,63.0,5,0,0,53.8,1,50.7
1,26,Metro,Tier2_College,75.4,2,0,0,62.3,1,58.4
1,34,Metro,Tier3_College,54.0,4,0,1,62.9,0,40.7
1,40,Tier2,Tier2_College,52.2,4,0,0,73.2,1,42.3
0,33,Metro,Tier2_College,63.8,4,3,0,60.9,0,55.7
0,37,Tier2,Tier2_College,71.8,3,0,1,56.2,0,54.7
0,40,Tier2,IIT_NIT,42.2,5,0,0,62.1,0,29.6
1,24,Tier3,Tier2_College,64.6,2,0,1,74.5,0,56.1
1,33,Tier2,Tier2_College,75.3,2,0,0,67.2,1,68.6
0,26,Tier2,Tier3_College,78.0,2,1,0,65.8,0,57.4
1,23,Metro,Tier3_College,53.9,4,0,1,70.7,1,45.2
0,43,Metro,Tier2_College,73.2,7,0,0,98.7,0,60.7
1,28,Metro,Tier3_College,81.9,2,0,0,73.3,1,56.2
0,34,Tier3,IIT_NIT,76.5,8,2,0,58.0,0,66.0
0,36,Metro,Tier2_College,62.2,2,1,0,38.9,0,36.9
1,43,Tier2,Tier2_College,34.6,8,0,0,68.7,1,23.1
0,24,Tier2,IIT_NIT,70.9,6,0,0,84.4,0,54.4
0,42,Metro,Tier3_College,90.1,8,1,0,50.8,0,78.7
0,41,Metro,Tier2_College,79.5,5,1,0,58.5,0,67.3
1,26,Tier2,Tier3_College,78.6,4,2,1,96.3,0,60.4
1,45,Tier2,Tier2_College,70.4,4,0,1,52.8,1,65.0
0,29,Tier3,IIT_NIT,80.6,5,1,1,72.6,1,55.4
1,43,Tier2,Tier3_College,72.2,5,0,1,67.0,1,55.3
1,22,Tier2,Tier2_College,43.6,5,0,1,56.0,0,41.5
0,29,Tier3,Tier2_College,80.5,4,1,0,69.9,0,56.2
0,45,Tier2,Tier2_College,55.9,4,3,0,37.8,0,46.5
0,39,Tier3,IIT_NIT,68.9,4,2,1,73.5,0,59.9
0,41,Metro,Tier3_College,78.3,3,1,0,58.9,0,47.4
1,37,Tier2,Tier2_College,57.5,3,1,0,55.4,1,34.6
0,39,Metro,IIT_NIT,54.2,3,0,0,83.9,1,40.9
1,41,Metro,Tier3_College,74.7,5,0,0,70.5,0,40.3
1,33,Metro,Tier2_College,52.4,1,1,1,83.4,0,33.7
0,34,Tier2,Tier2_College,65.3,3,0,1,85.0,0,54.4
1,34,Metro,Tier2_College,83.8,6,0,0,61.3,1,72.9
0,31,Metro,Tier2_College,90.8,4,0,0,38.3,0,73.4
1,28,Tier3,IIT_NIT,43.1,6,0,1,74.7,0,21.3
1,35,Tier3,Tier2_College,64.9,4,0,0,65.0,0,42.6
1,45,Tier2,Tier3_College,85.8,3,0,1,75.9,1,63.2
1,37,Tier3,Tier2_College,62.4,3,0,1,88.6,0,49.7
0,36,Tier3,Tier2_College,79.1,2,1,0,40.2,0,64.2
1,33,Tier2,Tier2_College,80.1,4,0,0,62.9,1,66.5
1,30,Metro,Tier2_College,59.4,2,0,1,76.2,1,49.9
1,29,Tier3,Tier3_College,74.0,2,0,0,69.0,0,64.0
1,39,Tier2,Tier2_College,74.9,3,0,1,64.7,0,57.1
1,44,Tier2,IIT_NIT,80.7,3,0,0,84.9,1,58.9
0,39,Tier2,Tier2_College,45.2,5,0,0,31.1,0,32.6
0,34,Tier2,Tier2_College,86.1,2,0,1,45.9,0,57.9
1,39,Tier3,Tier3_College,77.6,7,0,0,76.1,0,74.7
0,36,Metro,IIT_NIT,52.2,6,0,0,62.4,0,45.1
1,25,Tier3,Tier2_College,66.2,7,0,0,77.9,0,47.1
1,38,Tier3,Tier2_College,79.7,2,0,0,87.6,1,51.4
0,26,Tier2,Tier2_College,52.9,3,1,0,46.7,0,42.7
0,43,Tier2,Tier2_College,55.1,4,0,0,60.3,0,47.7
1,37,Metro,IIT_NIT,68.3,3,0,1,57.8,1,57.0
0,30,Metro,Tier3_College,61.9,6,0,0,76.1,1,55.7
1,31,Metro,Tier2_College,71.5,5,0,0,61.7,1,56.9
0,45,Tier3,Tier3_College,79.5,2,0,1,80.9,1,66.3
1,39,Tier2,Tier2_College,71.8,8,0,1,62.2,1,56.7
0,38,Metro,Tier3_College,67.9,3,1,1,59.2,1,55.9
1,39,Metro,Tier2_College,79.6,4,0,0,84.0,1,56.7
1,28,Tier3,Tier3_College,66.5,2,0,0,67.9,0,45.4
1,25,Metro,Tier2_College,57.6,4,0,0,83.2,0,31.8
0,26,Tier3,Tier2_College,84.2,4,1,1,47.8,0,62.7
1,44,Metro,Tier3_College,34.1,6,0,1,72.5,1,26.1
1,37,Tier2,Tier2_College,68.9,3,1,0,85.7,0,45.2
0,24,Metro,Tier2_College,62.9,4,0,0,67.7,0,52.6
0,39,Tier2,IIT_NIT,55.1,4,1,0,46.7,0,43.7
0,44,Tier2,Tier2_College,72.2,6,0,0,85.9,0,67.3
1,42,Metro,Tier2_College,74.4,7,0,0,58.4,0,63.6
1,35,Tier2,IIT_NIT,56.4,2,1,0,60.5,0,35.3
1,36,Tier2,Tier2_College,48.5,4,3,0,53.7,0,50.5
0,38,Tier2,Tier2_College,49.7,5,1,0,77.3,0,34.7
0,22,Tier3,Tier2_College,93.4,3,2,0,97.5,0,64.5
1,42,Metro,Tier2_College,94.9,0,0,0,70.7,1,86.5
1,38,Tier2,Tier2_College,68.4,5,0,0,93.9,1,57.6
1,44,Tier3,Tier3_College,48.8,5,0,0,94.3,0,34.9
0,32,Tier3,Tier2_College,66.0,4,0,0,64.3,0,59.4
1,38,Tier3,Tier3_College,37.2,2,0,1,65.6,1,34.4
0,35,Tier2,Tier3_College,72.4,5,0,0,60.7,1,67.3
0,41,Tier3,Tier3_College,54.1,7,2,0,64.9,0,34.6
1,40,Tier2,Tier3_College,51.1,6,0,0,93.2,0,36.2
1,42,Metro,Tier3_College,81.7,3,1,0,75.1,0,59.4
1,28,Tier3,Tier2_College,65.8,2,0,0,64.9,0,58.1
0,45,Tier2,Tier2_College,80.1,5,3,0,64.7,0,56.0
0,34,Metro,Tier2_College,84.9,6,2,0,73.8,0,51.9
1,39,Metro,Tier3_College,66.7,1,0,1,67.5,0,32.3
1,44,Tier3,Tier3_College,67.9,2,0,1,64.5,0,46.7
0,35,Metro,Tier3_College,82.8,2,1,0,60.3,0,66.8
0,22,Metro,Tier3_College,60.5,5,1,0,55.9,0,47.6
0,28,Tier2,Tier3_College,84.2,2,2,0,71.9,0,67.1
1,29,Metro,Tier2_College,39.7,3,0,0,61.3,1,34.7
0,39,Tier3,Tier2_College,63.0,7,0,0,62.2,0,44.1
0,30,Tier2,Tier2_College,70.6,1,1,0,61.0,0,52.7
0,22,Tier2,Tier2_College,51.1,4,0,0,75.9,0,46.9
0,43,Tier3,IIT_NIT,73.2,4,0,0,59.4,0,58.7
0,38,Tier2,Tier2_College,70.4,4,1,0,72.0,0,48.8
1,40,Metro,Tier3_College,57.7,3,1,1,53.8,0,43.7
0,27,Tier3,Tier2_College,57.2,4,0,0,77.3,0,38.4
1,24,Tier2,Tier3_College,55.8,1,0,0,76.7,0,46.2
0,45,Metro,Tier2_College,46.1,3,0,1,83.5,0,39.0
1,26,Tier2,IIT_NIT,90.5,4,0,1,73.4,1,76.8
1,23,Tier3,Tier3_College,65.1,6,0,0,70.9,0,51.6
1,41,Tier3,Tier3_College,49.1,3,0,0,62.3,1,22.8
1,25,Tier3,Tier2_College,66.3,1,0,0,70.9,0,58.1
0,31,Tier3,Tier2_College,71.4,2,1,0,49.5,0,52.3
0,31,Tier3,Tier2_College,56.5,2,2,0,53.3,0,45.9
1,45,Tier3,Tier3_College,62.9,2,0,0,59.8,0,47.4
1,42,Metro,Tier2_College,86.3,1,1,1,68.9,0,65.4
1,32,Metro,IIT_NIT,51.7,6,0,1,41.7,0,42.7
1,37,Tier2,Tier2_College,59.9,5,0,0,56.2,1,32.1
1,38,Tier2,Tier3_College,39.9,4,0,0,51.4,0,29.0
1,37,Metro,Tier3_College,93.5,4,0,1,91.6,1,75.3
0,28,Metro,Tier3_College,77.2,5,3,0,54.8,0,61.8
1,37,Metro,Tier2_College,67.3,3,0,1,61.5,1,49.0
1,24,Tier2,Tier3_College,57.9,2,1,1,68.5,1,40.3
0,37,Tier3,Tier3_College,57.2,5,1,0,65.2,0,43.4
1,29,Tier3,Tier3_College,64.2,2,1,1,72.8,0,47.9
0,33,Tier3,Tier2_College,74.9,5,1,1,55.3,0,69.1
1,24,Tier3,Tier3_College,53.1,5,0,0,65.9,0,37.4
